bloaz,pH_KCl,KA,Ossz_so,CaCO3,Humusz,NO3_N,P2O5,K2O,Mg,Na,Zn,Cu,Mn,SO4,pH_KCl_range,KA_range,Ossz_so_range,CaCO3_range,Humusz_range,NO3_N_range,P2O5_range,K2O_range,Mg_range,Na_range,Zn_range,Cu_range,Mn_range,SO4_range
NW33VU13,7.49,36,0.02,5.33,2.3573,11.8,72.09,216.0565,78.96,32.4,0.597,1.841,28.42,50.1,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range,50%-75%,Low-range,25%-50%,Low-range,Upper-range
R5UMDY12,7.49,39,0.025,6,2.75,11.6,512.7,242.21,247.9,59.81,1.695,2.133,60.3,7.974,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,25%-50%,Upper-range,50%-75%,25%-50%,25%-50%,Upper-range
L1LXQ615,4.89,61.2,0.03,0.2,4.28599132723781,8.7009062908084,141.123584289469,293.231792,1061.5,42.464,5.0402,11.3842,53.1798,8.6,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range
F05URH15,5.5,49,0.02,0.2,2.5,9.5,97.9,207.1,543.6,17.9,3,5.5,171.9,5,Low-range,Upper-range,Low-range,Low-range,50%-75%,Low-range,25%-50%,25%-50%,Upper-range,Low-range,Upper-range,Upper-range,50%-75%,Low-range
CWFF2F13,7.1,49,0.05,2.8,1.7,72.2,361,405.2,245.1,59.7,2.9,2.3,36.5,5,50%-75%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,25%-50%,Low-range
U4Q7AH14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
V3D4E413,5.8,44,0.03,0.2,1.1,57.5,64.2,160.8,370.9,25.7,0.6,1.6,170.4,7.7,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range
CTXUX413,5.5,47,0.02,0.2,1.4,26.6,132.5,271.034848,181.49,30.10585,3.7,3.7506,299.895,6.4,Low-range,50%-75%,Low-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%
DC3N7X13,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
WXMKQY12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
XQ7LPD12,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
EQEPN815,7.1,50,0.03,0.3,3.4,15.4,489.4,478.6,291.2,38.4,1.1,3.2,72.5,5,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range
X07X2A12,7.2,40,0.03,2.5,2.1,17,119,179.305635041164,358.1375,48.1810107105747,0.834,2.2074,31.998,5,50%-75%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,25%-50%,50%-75%,Upper-range,Low-range,25%-50%,Low-range,Low-range
CL7AF613,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
X3LD7E12,5.7,25,0.02,0.2,0.8,24.2,538,214.015115398414,30.42,33.2676705066369,19.382,4.0762,25.844,8.3,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,Upper-range,Low-range,Upper-range
P4XM1N14,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
R6AWLY12,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
RC9PKV12,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
EAYF5M15,5.99,62,0.11,0.1,3.0325,5.45,16.46,355.72,1058,151,1.385,6.08,79.96,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
CW60F413,7,50,0.03,0.5,1.2,14.7,472.3,263.9,306.8,40.1,4,5.1,166.7,14.4,50%-75%,Upper-range,50%-75%,50%-75%,Low-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range
DL3R6813,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
KH33Q512,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
U61V1614,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
W26JKE12,7.5,40,0.03,10.2,3.2,36.9,304.5,398.4,252.7,53,1.4,1.4,16.3,8.4,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Upper-range
WM1QK212,7.5,40,0.03,10.2,3.2,36.9,304.5,398.4,252.7,53,1.4,1.4,16.3,8.4,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Upper-range
U1NVVJ14,6.92,48,0.085,1.27,3.31,12.1,206.9,408.62,350.6,40.5,1.238,3.21,260.2,5,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
UDKECU14,7.08,58,0.08,2.16,3.34,14.3,145,360,361,62,2.1,2.4,96.4,14.8,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,25%-50%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range
M1F3U914,6.9,48,0.06,3.6,1.8,42.6,236.2,235.4,300.4,86.1,0.7,1.1,18.2,11.6,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Low-range,Low-range,Low-range,Upper-range
FDU1VV15,5.2,52,0.02,0.2,1.9,15,48.2,163,455.4,25.6,3.1,6.6,238,5,Low-range,Upper-range,Low-range,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Low-range
L1W6TT15,5.76,59,0.09,0.1,3.0475,4.77,23.55,331.01,1049,62.6,1.693,6,73.63,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
FFRUD715,4.5,53,0.02,0.2,1.8,3.8,7.9,190.2,652.8,17.3,1.9,2.7,198.8,5,Low-range,Upper-range,Low-range,Low-range,25%-50%,Low-range,Low-range,25%-50%,Upper-range,Low-range,Upper-range,50%-75%,Upper-range,Low-range
W4TJDX12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
QLRK0V13,4.9,46,0.03,0.2,1.5,14.5,49.6,213.237104831941,481.76875,40.1837696335079,4.159,2.3806,197.947,5,Low-range,25%-50%,50%-75%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Upper-range,50%-75%,Upper-range,25%-50%,Upper-range,Low-range
W3DCRP12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
UAP21614,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
C4NEXQ13,5.5,47,0.02,0.2,1.4,26.6,132.5,271.034848,181.49,30.10585,3.7,3.7506,299.895,6.4,Low-range,50%-75%,Low-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%
DMJV7V13,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
KJJ97A12,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
N06Q9313,7.5,44,0.02,3.4,2.3,7.9,267.7,261.79776,61.11,20.162812,2.3718,1.0482,6.6614,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range
LEV1EM15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
EK6HNM15,7.1,50,0.03,0.3,3.4,15.4,489.4,478.6,291.2,38.4,1.1,3.2,72.5,5,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range
T673E115,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
QEYDC413,7.5,40,0.02,12.9,1.7,20.8,217.7,171,116.7,15.5,0.6,1.2,8.5,5,Upper-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
T03HF415,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
T1CRNW15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
Y351M212,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
TDF57A15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
QVEM7413,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
Y5L7NT12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
Y6X0EP12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
R8C7D612,7.46,45,0.02,10.27,2.99,11.42,81.5,246.9,137.1,54.26,0.996,1.16,15.58,6.22882,Upper-range,25%-50%,Low-range,Upper-range,Upper-range,25%-50%,25%-50%,50%-75%,Low-range,Upper-range,Low-range,Low-range,Low-range,50%-75%
DL2PUT13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
TPYW8X15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
E1X3VM15,6,56,0.04,0.2,2.3,10.8,44.9,263.4,1083,60.8,2.4,10.6,126,10.2,25%-50%,Upper-range,Upper-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
E2LHNJ15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
H3ED3R15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
UD6MCN14,7.08,58,0.08,2.16,3.34,14.3,145,360,361,62,2.1,2.4,96.4,14.8,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,25%-50%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range
UDDMCV14,7.08,58,0.08,2.16,3.34,14.3,145,360,361,62,2.1,2.4,96.4,14.8,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,25%-50%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range
H08H2K15,7.21,49,0.05,5.06,3.41,11.12,296,354.27,249.7,59.11,2.573,2.446,40.09,6.975,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,25%-50%,50%-75%
H3UJPX15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
X744QA12,5.7,25,0.02,0.2,0.8,24.2,538,214.015115398414,30.42,33.2676705066369,19.382,4.0762,25.844,8.3,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,Upper-range,Low-range,Upper-range
E7UQ0H15,6,56,0.04,0.2,2.3,10.8,44.9,263.4,1083,60.8,2.4,10.6,126,10.2,25%-50%,Upper-range,Upper-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
FH5XW815,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
H9Y4PV15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
EEFWFY15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
E78WFK15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
UD6TQ714,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
UYLTK214,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
UC6TQ614,7.08,58,0.08,2.16,3.34,14.3,145,360,361,62,2.1,2.4,96.4,14.8,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,25%-50%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range
T5HH8H15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
DCT26113,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
UKW23P14,6.83,50,0.075,0.1,3.5,18.4,103.5,363.55,395.6,38.37,2.017,3.415,448.7,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
E5X3KF15,7.1,50,0.03,4.3,2.5,27,1062.9,721.1,242.9,46.6,1.2,2.8,16.9,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range,Low-range
EPK9Q115,7.2,50,0.02,1.6,3.4,8.2,363.4,621,266.9,50.4,1.5,2.3,41.6,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,25%-50%,25%-50%,Low-range
E21P9R15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
D49RF813,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
M4V3RQ14,6.9,48,0.06,3.6,1.8,42.6,236.2,235.4,300.4,86.1,0.7,1.1,18.2,11.6,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Low-range,Low-range,Low-range,Upper-range
D1E8DP13,7.2,55,0.02,14.7,1.9,26.7,189.9,147,275.1,30,1.7,6.1,40.5,5,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,25%-50%,25%-50%,50%-75%,Upper-range,25%-50%,Low-range
DCXY0V13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
L25FEY15,7.6,38,0.02,2.2,1.4,6.2,262.2,193.8,535,68.1,0.9,1.6,36.8,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Low-range,Low-range,25%-50%,Low-range
HCD63T15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
X4TD7N12,5.7,25,0.02,0.2,0.8,24.2,538,214.015115398414,30.42,33.2676705066369,19.382,4.0762,25.844,8.3,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,Upper-range,Low-range,Upper-range
Y6T7KX12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
UD4DQQ14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
QD0FE713,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
H2Y4MK15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
ETTHNH15,7.1,50,0.03,0.3,3.4,15.4,489.4,478.6,291.2,38.4,1.1,3.2,72.5,5,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range
U90MJJ14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
E6C57M15,6.47,46,0.05,0.1,1.91,3.8,76,243,187,74.7,3.2,8.1,166,16.5,25%-50%,25%-50%,Upper-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
E059NT15,5.3,68,0.04,0.2,1.9,13.1,93,257.3,1212.8,89.7,4.5,12.9,114.3,5,Low-range,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Low-range
EPEPN715,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
T89FLP15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
E0EPNH15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
H1UD5615,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
EJ0HND15,7.1,50,0.03,0.3,3.4,15.4,489.4,478.6,291.2,38.4,1.1,3.2,72.5,5,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range
U4TH6P14,6.12,48,0.07,0.1,3.3,11.6,81,491,357,28.8,3.9,3,182,15.2,25%-50%,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,25%-50%,Upper-range,50%-75%,25%-50%,Upper-range,50%-75%,Upper-range,Upper-range
DLX2PW13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
E2Y9NP15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
UT91JQ14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
